;Marker Coordinate File
   X(um)    Y(um)     Z(um)  Marker Diameter
3  9238.74 -3445.56  -168.30     1.49
3  9228.84 -4230.71  -168.30     1.49
3  9256.89 -4217.51  -171.60     1.49
3  9182.64 -4260.41  -165.00     1.49
3  9139.74 -4232.36  -168.30     1.49
3  4425.54 -4250.51  -161.70     1.49
3  4466.79 -4291.76  -158.40     1.49
3  4402.44 -4225.76  -171.60     1.49
3  4346.34 -4268.66  -165.00     1.49
3  5184.29 -5025.76  -171.60     1.49
3  7531.49 -5876.91  -171.60     1.49
3  7628.84 -5896.71  -165.00     1.49
3  7544.69 -5791.11  -165.00     1.49
3  6749.64 -5888.46  -168.30     1.49
3  6804.09 -5797.71  -171.60     1.49
3  5961.19 -5878.56  -168.30     1.49
3  5946.34 -5786.16  -158.40     1.49
3  6012.34 -5896.71  -171.60     1.49
3  6002.44 -5837.31  -171.60     1.49
3  5934.79 -5802.66  -168.30     1.49
3 12432.86 -5274.84  -165.00     1.49
3 12406.46 -5258.34  -165.00     1.49
3 12376.76 -5215.44  -165.00     1.49
3 12434.51 -6894.64  -168.30     1.49
3 12371.81 -6894.64  -161.70     1.49
3 12444.41 -6818.74  -161.70     1.49
3 11669.16 -6878.14  -165.00     1.49
3 11634.51 -7668.24  -171.60     1.49
3 11571.81 -8397.29  -171.60     1.49
3 10785.01 -8418.74  -168.30     1.49
3 10036.16 -8504.54  -158.40     1.49
3 10036.16 -8441.84  -171.60     1.49
3 10039.46 -8473.19  -171.60     1.49
3  9958.61 -8489.69  -168.30     1.49
3 10016.36 -8405.54  -161.70     1.49
3  1952.01 -8492.99  -165.00     1.49
3  1968.51 -9266.59  -168.30     1.49
3  2072.46 -9259.99  -165.00     1.49
3  2013.06 -9225.34  -165.00     1.49
3  2748.71 -9241.84  -161.70     1.49
3  2752.01 -9207.19  -161.70     1.49
3  2808.11 -9261.64  -158.40     1.49
3  2819.66 -9210.49  -158.40     1.49
3  3598.21 -9200.59  -158.40     1.49
3  3657.61 -9279.79  -171.60     1.49
